"HighlightRow","Edit","View Audit LOG","State (XXX)","Issue  Office  (YXXX-MWO)","Location (name)","ICAO Identifier (YXXX)","Metar  (Y or N)","TAF  (Y or N)","TTF  (Y or N)","Ceilometer  (Y or N)","Vismeter  (Y or N)","AWIS  (Y or N)","AWIS Number (area code)No.","AWIS Frequency (Mhz)","BOM  Station(xxxxxx)","Secondary  &nbsp &nbsp &nbsp &nbsp Issue Office(YXXX-MWO)","ARFOR  Area(xx)","Alternate  Aero Minima  Cloud Base(Feet)","Alternate  Aero Minima  Visibility(Meters)","Slam Minima  Cloud Base(Feet)","Slam Minima  Visibility(Meters)","A Aero Minima  Cloud Base(Feet)","A Aero Minima  Visibility(Meters)","B Aero Minima  Cloud Base(Feet)","B Aero Minima  Visibility(Meters)","C Aero Minima  Cloud Base(Feet)","C Aero Minima  Visibility(Meters)","D Aero Minima  Cloud Base(Feet)","D Aero Minima  Visibility(Meters)","Main  Runway  Orientation(Degrees Magnetic)","Secondary  Runway  Orientation(Degrees Magnetic)","Tertiary  Runway  Orientation(Degrees Magnetic)","Variation  Amount  (Degrees)","Variation  Direction  (E or W)","Aero  Height  (Feet)","AWS  (Y or N)","VIS AWR  (Y or N)","VIS SYNOP  (Y or N)","Closest Vis Obs  (Y or N)","One  Minute Data  (Y or N)","Half  Hourly   (Y or N)","Hourly  Data  (Y or N)","Present  Weather Sensor Funded  (Y or N)","Lightning  Sensor  (Y or N)","Annual  Movements","Annual  Pax","GreaterThan 30000  Pax  (Y or N)","Runway  Approach  (Y or N)","Circling  Approach  (Y or N)","International  Secondary  (Y or N)","Control  Tower  (Y or N)","International  Major  (Y or N)","Etops  Alternate  (Y or N)","TAF  Classification  (A,B,C,D,E,F,G)","TAF  Cat  (1,2,3)","AIFS TAF Aifs Id (IDXXXXXX)","TAF  issues  TAF_ISS0  (HH/HH)","TAF_ISS1  Days  (A=All)","TAF  issues  TAF_ISS2  (HH/HH)","TAF_ISS3  Days  (A=All)","TAF  issues  TAF_ISS4  (HH/HH)","TAF_ISS5  Days  (A=All)","TAF  issues  TAF_ISS6  (HH/HH)","TAF_ISS7  Days  (A=All)","Validity  (Hrs)","Update  Frequency","No of  issues","TTF_ISS1  (HH/HH)","TTF_ISS2  Days","TTF ISSue  Times  TTF_ISS3  (HH/HH)","TTF_ISS4  Days","Airport  Warning  (Y or N)","Wind  Shear  Alert  (Y or N)","Temperature  Inversion   (Y or N)","ASTAS   (Y or N)","Thunderstorm  Alert   (Y or N)","Airport  Weather  Briefing   (Issue Time Z)","Code  Grey   (Y or N)","Verbal  Briefing   (Y or N)","Aero  Latitude  (Decimal  Degrees).","Aero  Longitude  (Decimal  Degrees).","Aviation  Funded (Y or N)","Aviation  Location  Type"
"___","MTB","LOG","NSW","YSSY-MWO","Mount Boyce","MTB","Y","N","N","Y","Y","Y","OLD (02) 4787 5122","N","63292","","20","","","","","-1","-1","","","","","","","","","","","","","Y","N","N","","N","N","Y","N","N","","","N","N","N","N","N","N","N","E","","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-33.6151","150.2679","N","CL"
"___","YSHL","LOG","NSW","YSSY-MWO","Shellharbour Airport","YSHL","Y","Y","N","Y","Y","Y","OLD (02) 4256 0312","N","68241","","21","2409","6000","","","2299","4400","2299","4400","2399","6000","","","82","157","","13","E","31","Y","N","N","Wollongong 19.7","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","C","3","IDN54300","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-34.56116","150.78859","Y","AD"
"___","YSBC","LOG","NSW","UNKNOWN","Badgerys Creek","YSBC","N","N","N","N","N","N","","","67108","","21","1500","8000","","","","","","","","","","","","","","","","270","N","N","N","","N","N","N","N","N","","","N","N","N","N","N","N","N","","","","00/12","","06/18","","12/24","","18/06","","","","","","","","","N","N","N","N","","N","N","N","-33.8969","150.7281","N",""
"___","YBTH","LOG","NSW","YSSY-MWO","Bathurst","YBTH","Y","Y","N","Y","Y","Y","OLD (02) 6337 3001","133.25","63291","","21","1875","6000","","","1875","4400","1875","4400","1875","6000","","","164","79","","12","E","2435","Y","N","N","Bathurst Ag","N","N","Y","N","N","3108","15478","N","Y","Y","N","N","N","N","C","2","IDN54700","2008","A","0214","A","0820","A","","","12","6","4","","","","","N","N","N","N","N","N","N","Y","-33.40944","149.65194","N","AD"
"___","YJBY","LOG","NSW","UNKNOWN","Jervis Bay Airfield","YJBY","N","N","N","N","N","N","","","68264","","21","","","","","-1","-1","","","","","","","82","151","","13","E","200","N","N","N","","N","N","N","N","N","","","N","N","N","N","N","N","N","D","","","","","","","","","","","","","","","","","","N","N","N","N","","N","N","N","-35.144","150.6974","N","AD"
"___","YYNG","LOG","NSW","YSSY-MWO","Young","YYNG","Y","Y","N","N","N","Y","OLD (02) 6383 3357","124.65","73138","","21","1473","4400","","","1533","4400","1533","4400","","","","","3","","","12","E","1267","Y","N","N","Grenfell 39","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN55400","2008","A","0210","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-34.25567","148.24813","N","AD"
"___","YSWG","LOG","NSW","YSCB-MWO","Wagga Wagga","YSWG","Y","Y","N","Y","Y","Y","OLD (02) 6922 7926","115.0, 221","72150","YSSY-MWO","21","1786","7000","","","1376","4400","1376","4400","1476","6000","1786","7000","50","114","","12","E","724","Y","Y","Y","","Y","Y","Y","N","N","6590","130135","Y","Y","Y","N","N","N","N","B","2","IDN55300","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","Y","N","N","N","N","N","N","Y","-35.16389","147.4625","N","AD"
"___","YPKS","LOG","NSW","YSSY-MWO","Parkes","YPKS","Y","Y","N","N","N","Y","OLD (02) 6862 6247","N","65068","","21","1801","6000","","","1501","4400","1501","4400","1801","6000","","","44","114","","11","E","1069","Y","N","N","Parkes 7.5","N","N","Y","N","N","1871","15997","N","Y","Y","N","N","N","N","D","2","IDN54900","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-33.13127","148.23905","Y","AD"
"___","YORG","LOG","NSW","YSSY-MWO","Orange","YORG","Y","Y","N","N","N","Y","OLD (02) 6365 5186","128.8","63303","","21","1698","6000","","","1195","4400","1195","4400","1565","6000","","","41","114","","12","E","3115","Y","Y","N","","N","N","Y","N","N","2381","48945","Y","Y","Y","N","N","N","N","C","2","IDN54800","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-33.38177","149.13298","Y","AD"
"___","YSNW","LOG","NSW","YSNW-MWO","Nowra","YSNW","Y","Y","Y","Y","Y","Y","OLD (02) 4424 2531","280.4","68072","YSSY-MWO","21","1910","7000","","","1420","4400","1420","4400","1780","6000","1910","7000","32","82","","13","E","400","Y","Y","N","Pt Perpendicular 29.5","N","Y","Y","N","N","","","N","Y","Y","N","Y","N","N","B","3","IDN54400","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","D","D","","","N","N","N","N","N","N","N","Y","-34.93333","150.56111","N","AD"
"___","MSV","LOG","NSW","YSSY-MWO","Moss Vale","MSV","Y","N","N","Y","Y","Y","OLD (02) 4869 2640","N","68239","","21","","","","","-1","-1","","","","","","","","","","","","","Y","N","N","","N","N","Y","N","N","","","N","N","N","N","N","N","N","E","","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-34.5484","150.3679","N","CL"
"___","YMRY","LOG","NSW","YSSY-MWO","Moruya","YMRY","Y","Y","N","N","N","Y","OLD (02) 4474 0971","N","69148","","21","1361","6000","","","1261","4400","1261","4400","1361","6000","","","43","179","","13","E","14","Y","N","N","Moruya 1.4","N","N","Y","N","N","3262","10687","N","Y","Y","N","N","N","N","C","3","IDN54500","2008","A","0214","A","0820","A","1402","A","12","","4","","","","","N","N","N","N","N","N","N","Y","-35.89784","150.14441","N","AD"
"___","YMER","LOG","NSW","YSSY-MWO","Merimbula","YMER","Y","Y","N","Y","Y","Y","OLD (02) 6495 4997","N","69147","","21","1762","6000","","","1493","4400","1493","4400","1843","6000","","","21","","","13","E","7","Y","N","N","Bombala","N","N","Y","N","N","2664","34794","Y","Y","Y","N","N","N","N","C","3","IDN54600","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-36.90871","149.90132","Y","AD"
"___","KHAN","LOG","NSW","MAFC","Khancoban","KHAN","Y","N","N","N","N","Y","OLD (02) 6076 9008","N","72162","NSW-E","21","","","","","-1","-1","","","","","","","","","","","","","Y","N","N","","N","N","Y","N","N","","","N","N","N","N","N","N","N","","","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-36.2304","148.1405","N","CL"
"___","YGLB","LOG","NSW","YSCB-MWO","Goulburn","YGLB","Y","Y","N","N","N","Y","OLD (02) 4823 6005","N","70330","YSSY-MWO","21","1879","6000","","","1519","4400","1519","4400","1879","6000","","","35","80","","12","E","2141","Y","N","N","Goulburn 9.8","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN55100","","A","","","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-34.81022","149.7265","Y","AD"
"___","YCWR","LOG","NSW","YSSY-MWO","Cowra","YCWR","Y","Y","N","N","N","Y","OLD (02) 6341 4025","N","65111","","21","1377","6000","","","1314","4400","1314","4400","1414","6000","","","150","29","","12","E","966","Y","N","Y","","N","N","N","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN55500","","A","","","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-33.84483","148.64901","N","AD"
"___","YCTM","LOG","NSW","YSSY-MWO","Cootamundra","YCTM","N","Y","N","N","N","N","N","N","73142","","21","1500","4400","","","1490","4400","1490","4400","","","","","162","99","","12","E","1110","N","N","Y","","N","N","N","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN56800","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-34.62432","148.03577","N","AD"
"___","YCOM","LOG","NSW","YSCB-MWO","Cooma","YCOM","Y","Y","N","Y","Y","Y","OLD (02) 6452 6256","N","70217","YSSY-MWO","21","1554","7000","","","1544","4400","1544","4400","1644","7000","","","180","","","13","E","3106","Y","N","N","Cooma Visitors Centre 15.3","N","N","Y","N","N","1000","8902","N","Y","Y","N","N","N","N","D","2","IDN55200","2008","A","0214","A","0820","A","","","12","","4","","","","","N","N","N","N","N","N","N","Y","-36.29306","148.97222","Y","AD"
"___","YSCB","LOG","NSW","YSCB-MWO","Canberra Aero","YSCB","Y","Y","Y","Y","Y","Y","OLD (02) 6257 4687","116.7","70351","YSSY-MWO","21","2334","7000","","","1964","4400","1964","4400","2184","6000","2334","7000","168","118","","12","E","1888","Y","Y","Y","","Y","Y","Y","Y","Pr","38373","2303582","Y","Y","Y","Y","Y","N","N","A","1","IIDN55000","1818","A","0024","A","0606","A","1212","A","24","6","4","1730-0500","M,TU,W,T,F,SA","2030-0330","S","Y","N","N","N","N","N","N","Y","-35.28389","149.16389","Y","AD"
"___","YSCN","LOG","NSW","SAMU","Camden","YSCN","Y","Y","N","N","Y","Y","OLD (02) 4655 9248","N","68192","","21","1750","6000","","","1550","4400","1550","4400","1800","6000","","","52","98","","12","E","230","Y","N","N","Liverpool 25","N","Y","Y","N","N","","","N","Y","Y","N","Y","N","N","B","3","IDN54200","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","Y","N","N","N","N","N","N","Y","-34.0425","150.6875","Y","AD"
"___","YWWL","LOG","NSW","YSSY-MWO","West Wylong","YWWL","Y","Y","N","N","N","Y","OLD (02) 6972 3564","N","50017","","22","1321","6000","","","1221","4400","1221","4400","1321","6000","","","87","30","","11","E","859","Y","N","N","West Wyalong  4.4","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN57100","","A","","","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-33.93723","147.19152","N","AD"
