NAME,LAT,LONG,AREA
Lockhart River,-12.78708,143.30469,QLD-N
Mackay,-21.17167,149.17444,QLD-N
Macrossan,-21.0167,146.4833,QLD-N
Macrossan,-21.0167,146.4833,QLD-N
Mareeba,-17.06911,145.41905,QLD-N
Moranbah,-22.05791,148.07756,QLD-N
Mornington Island,-16.66263,139.17793,QLD-N
Mount Isa,-20.66639,139.48944,QLD-N
Normanton,-17.685,141.07025,QLD-N
Osborne Mine,-22.08167,140.55666,QLD-N
Pirlangimpi Airport,-11.4021,130.4217,QLD-N
Proserpine/Whitsunday Coast,-20.495,148.55235,QLD-N
Richmond,-20.70203,143.11481,QLD-N
Samuel Hill,-22.75,150.63333,QLD-N
Saumarez Reef Seaplane Base,-21.85729,153.64654,QLD-N
Scherger,-12.62389,142.08722,QLD-N
The Monument,-21.81108,139.92361,QLD-N
Townsend Island Seaplane Base,-22.30475,150.4972,QLD-N
Townsville,-19.25472,146.77222,QLD-N
Trepell,-21.835,140.88833,QLD-N
Weipa,-12.67857,141.92538,QLD-N
Williamson,-22.47333,150.17833,QLD-N
Winton,-22.36348,143.08561,QLD-N
Amberley,-27.64066,152.71182,QLD-S
Archerfield,-27.57034,153.00803,QLD-S
Ballera,-27.40833,141.80833,QLD-S
Barcaldine,-23.56514,145.30671,QLD-S
Birdsville,-25.89889,139.35194,QLD-S
Blackall,-24.42789,145.42855,QLD-S
Brisbane Airport,-27.38889,153.11583,QLD-S
Bundaberg,-24.89667,152.32306,QLD-S
Charleville,-26.4125,146.25694,QLD-S
Chinchilla,-26.7694,150.6167,QLD-S
Cunnamulla,-28.03006,145.62212,QLD-S
Emerald,-23.56763,148.1792,QLD-S
Gayndah,-25.61522,151.62077,QLD-S
Gladstone Airport,-23.86981,151.22274,QLD-S
Gold Coast (Coolangatta),-28.16111,153.51528,QLD-S
Goondiwindi,-28.52128,150.32019,QLD-S
Heron Island,-23.4422,151.9131,QLD-S
Hervey Bay,-25.31881,152.8803,QLD-S
Kingaroy,-26.58081,151.84101,QLD-S
Longreach,-23.44583,144.28278,QLD-S
Maroochydore/Sunshine Coast,-26.60342,153.09104,QLD-S
Maryborough (QLD),-25.52083,152.70833,QLD-S
Oakey,-27.41639,151.73556,QLD-S
Quilpie,-26.61667,144.25611,QLD-S
Rockhampton,-23.37861,150.47639,QLD-S
Roma,-26.54512,148.77486,QLD-S
St George,-28.04976,148.5953,QLD-S
Thangool,-24.49377,150.57624,QLD-S
Thargomindah,-27.98635,143.8109,QLD-S
Toowoomba,-27.55556,151.92083,QLD-S
Wellcamp,-27.5586,151.7942,QLD-S
Windorah,-25.41294,142.66731,QLD-S
Adelaide Airport,-34.94944,138.52556,SA
Arkaroola,-30.41,139.35,SA
Blanchetown,-34.35,139.61,SA
Ceduna,-32.1306,133.70975,SA
Clare Valley,-33.71,138.58,SA
Cleve,-33.70983,136.50475,SA
Coober Pedy,-29.04,134.72086,SA
Cowell,-33.67,136.89,SA
Edinburgh,-34.71206,138.62361,SA
Ernabella (Pukatja),-26.26258,132.18176,SA
Kadina,-33.9703,137.6628,SA
Kingscote,-35.70694,137.52083,SA
Kingston,-36.82,139.85,SA
Leigh Creek,-30.59583,138.44167,SA
Marree,-29.6587,138.0684,SA
Minlaton,-34.71167,137.525,SA
Moomba,-28.09954,140.19705,SA
Mount Gambier,-37.74544,140.78528,SA
Mt Crawford,-34.73,138.93,SA
Mt Lofty,-34.98,138.71,SA
Murray Bridge,-35.06667,139.22667,SA
Naracoorte,-36.98522,140.72496,SA
Nuriootpa,-34.47,138.99,SA
Olympic Dam,-30.485,136.87667,SA
Oodnadatta,-27.56139,135.44611,SA
Parafield,-34.79028,138.6375,SA
Port Augusta,-32.50692,137.7168,SA
Port Lincoln,-34.60539,135.88028,SA
Renmark,-34.19641,140.674,SA
Robe,-37.1776,139.8054,SA
Salt Creek,-36.14,139.64,SA
Streaky Bay,-32.75,134.2,SA
Tarcoola,-30.70667,134.57667,SA
Waikerie,-34.18,140.03,SA
Whyalla,-33.0525,137.52222,SA
William Creek,-28.91,136.32,SA
Wilpena HS,-31.52,138.63,SA
Woomera,-31.14806,136.81389,SA
Wudinna,-33.04324,135.44721,SA
Yunta,-32.5707,139.5645,SA
Bathurst Harbour,-43.42,146.16,TAS
Ben Lomond (Legges Tor),-41.53,147.66,TAS
Bridport,-41,147.4,TAS
Cradle Mountain Lodge,-41.57,145.93,TAS
Devonport,-41.17444,146.42528,TAS
Federation Peak,-43.27,146.45,TAS
Flinders Island,-40.09129,147.99267,TAS
Mt Picton,-43.15,146.58,TAS
George Town ,-41.08,146.82,TAS
Hartz Mountain,-43.08,146.77,TAS
Hobart Airport,-42.83722,147.5,TAS
King Island,-39.88583,143.88194,TAS
Launceston,-41.54944,147.20694,TAS
Mount Lloyd ,-42.831,146.9465,TAS
Mount Read,-41.65,145.54,TAS
Mount Wellington (TAS),-42.9,147.23,TAS
Mt Frederick,-43.05,146.66,TAS
Nubeena,-43.1,147.74,TAS
Queenstown,-42.08,145.57,TAS
Scottsdale,-41.17,147.52,TAS
Smithton,-40.83502,145.08374,TAS
St Helens,-41.3368,148.28185,TAS
Stanley ,-40.77,145.3,TAS
Strahan,-42.15563,145.29129,TAS
Tarraleah,-42.27,146.27,TAS
Tasman Island,-43.2397,148.0025,TAS
Wynyard (Burnie),-40.99879,145.73122,TAS
Ararat,-37.31,142.99,VIC
Avalon,-38.0394,144.46948,VIC
Bacchus Marsh,-37.73,144.42,VIC
Bairnsdale,-37.88751,147.56764,VIC
Ballarat,-37.51159,143.79123,VIC
Barwon Heads,-38.26,144.5,VIC
Bendigo Airport,-36.73941,144.32985,VIC
Castlemaine,-37.13,144.22,VIC
Charlton,-36.2847,143.3342,VIC
Coldstream,-37.7258,145.4072,VIC
East Sale,-38.10333,147.13083,VIC
Echuca,-36.13,144.76,VIC
Edenhope,-37.0222,141.2656,VIC
Essendon Airport,-37.72722,144.89861,VIC
Falls Creek AWS,-36.87,147.28,VIC
Fish Creek,-38.72,146.05,VIC
Hamilton,-37.64876,142.06524,VIC
Healesville,-37.68,145.52,VIC
Heyfield (Rainbow Ck),-38.02,146.68,VIC
Hopetoun,-35.715,142.3569,VIC
Horsham,-36.66969,142.17268,VIC
Inverleigh,-38.15,143.99,VIC
Kilmore Gap,-37.3,144.98333,VIC
Kyneton,-37.25,144.43,VIC
Latrobe Valley,-38.20723,146.47031,VIC
Laverton (VIC),-37.8565,144.7566,VIC
Leongatha,-38.5,145.86,VIC
Lethbridge Airport,-37.92,144.1,VIC
Mallacoota,-37.59875,149.72075,VIC
Mangalore,-36.89861,145.18472,VIC
Maryborough (VIC),-37.05,143.71,VIC
Melbourne Airport,-37.66833,144.83194,VIC
Melton,-37.62,144.57,VIC
Mildura,-34.22926,142.08556,VIC
Moorabbin,-37.97861,145.09583,VIC
Mount Buller,-37.1467,146.4367,VIC
Mount Hotham,-37.04758,147.33406,VIC
Mt Buller AWS,-37.15,146.44,VIC
Mt Hotham Airport,-37.03,147.33,VIC
Nathalia,-36.06,145.2,VIC
Nhill,-36.30967,141.64091,VIC
Orbost Airport,-34.79028,148.60972,VIC
Ouyen,-35.12,142.32,VIC
Phillip Island,-38.52294,145.32717,VIC
Point Cook,-37.93226,144.75346,VIC
Portland,-38.31809,141.47104,VIC
Shepparton,-36.42881,145.39256,VIC
Stawell,-37.0678,142.7411,VIC
Swan Hill,-35.37571,143.53274,VIC
Tooradin,-38.22,145.38,VIC
Tyaab,-38.27,145.18,VIC
Wangaratta,-36.41593,146.30686,VIC
Warburton,-37.78,145.72,VIC
Warrnambool,-38.29514,142.44674,VIC
West Sale,-38.09166,146.96525,VIC
Wycherproof,-36.06,143.24,VIC
Yarram Airport,-38.56,146.67,VIC
Yarrawonga,-36.0294,146.0306,VIC
Argyle,-16.63684,128.45134,WA-N
Balgo Hill,-20.14827,127.97398,WA-N
Barimunya,-22.6719,119.1628,WA-N
Barrow island,-20.86452,115.40606,WA-N
Boolgeeda,-22.54111,117.26944,WA-N
Broome,-17.94958,122.22774,WA-N
Christmas Creek,-22.3562,119.6497,WA-N
Christmas Island,-10.45059,105.69035,WA-N
Cocos Island,-12.18865,96.83048,WA-N
Coondewanna,-22.965,118.8089,WA-N
Curtin/Derby South,-17.58145,123.82819,WA-N
Derby,-17.3701,123.66065,WA-N
Fitzroy Crossing,-18.182,125.55867,WA-N
Fortescue Dave Forrest,-22.29183,119.43733,WA-N
Ginbata,-22.5811,120.0356,WA-N
Gudai-Darri Mine,-22.5031,119.0723,WA-N
Halls Creek,-18.23396,127.6696,WA-N
Ironbridge Mine,-21.2853,118.8765,WA-N
Kalumburu,-14.2964,126.6453,WA-N
Karlawinda Mine,-23.7811,120.135,WA-N
Karratha,-20.71667,116.77639,WA-N
Koolan Island/Central,-16.12,123.73,WA-N
Kununurra,-15.77804,128.70743,WA-N
Learmonth,-22.23548,114.08854,WA-N
Lombadina,-16.5158,122.9214,WA-N
Mungalalu-Truscott,-14.08969,126.38069,WA-N
Newman,-23.41783,119.80274,WA-N
North Rankin A Platform,-19.58556,116.13694,WA-N
Onslow,-21.6684,115.113,WA-N
Paraburdoo,-23.17122,117.7454,WA-N
Port Hedland,-20.3875,118.62444,WA-N
Roebourne,-20.7594,117.1583,WA-N
Shay Gap,-20.4254,120.1311,WA-N
Solomon Airport,-22.2547,117.847,WA-N
Telfer,-21.71492,122.22874,WA-N
West Angelas,-23.135,118.70667,WA-N
Wyndham,-15.51144,128.15315,WA-N
Lake King town,-33.085,119.689,WA-S
Abra Mine,-24.6242,118.6203,WA-S
Albany,-34.94344,117.8089,WA-S
Augusta,-34.33,115.16,WA-S
Boyup Brook,-33.9,116.45,WA-S
Bunbury,-33.378,115.677,WA-S
Busselton,-33.68729,115.40026,WA-S
Caiguna,-32.27,125.49,WA-S
Carnarvon,-24.88068,113.67209,WA-S
Cunderdin,-31.62222,117.21667,WA-S
Denmark,-34.96,117.35,WA-S
Esperance Airport,-33.68444,121.82264,WA-S
Forrest,-30.84389,128.11944,WA-S
Garden Island HSF,-32.2433,115.6839,WA-S
Geraldton,-28.79621,114.7075,WA-S
Giles,-25.05,128.3,WA-S
Gin Gin,-31.4628,115.8642,WA-S
Golden Grove,-28.765,116.9717,WA-S
Gruyere,-28.034,123.814,WA-S
Israelite Bay,-33.62,123.88,WA-S
Jandakot,-32.095,115.87444,WA-S
Jerramungup,-33.92,118.9,WA-S
Jurien Bay,-30.3,115.06,WA-S
Kalbarri,-27.09,114.26,WA-S
Kalgoorlie,-30.78938,121.46173,WA-S
Katanning,-33.7,117.65,WA-S
Kojonup,-33.75,117.14,WA-S
Laverton (WA),-28.61369,122.42396,WA-S
Leinster,-27.8434,120.70323,WA-S
Leonora,-28.87812,121.31465,WA-S
Manjimup,-34.27,116.14,WA-S
Margaret River,-33.93,115.1,WA-S
Meekatharra,-26.61175,118.54768,WA-S
Morawa,-29.2039,116.0247,WA-S
Mount Holland,-32.1083,119.76,WA-S
Mount Keith,-27.28646,120.55473,WA-S
Mount Magnet,-28.11616,117.84173,WA-S
Murrin Murrin,-28.7053,121.89064,WA-S
Narrogin,-32.93,117.08,WA-S
Norseman,-32.20933,121.75457,WA-S
Northam,-31.63,116.68,WA-S
Pearce,-31.66768,116.01506,WA-S
Pemberton,-34.45,116.08,WA-S
Perth Airport,-31.94389,115.97306,WA-S
Rottnest Island,-32.00677,115.53975,WA-S
Shark Bay,-25.89387,113.57723,WA-S
Southern Cross,-31.2403,119.35979,WA-S
Tropicana,-29.18667,124.55028,WA-S
Walpole,-34.98,116.73,WA-S
Warburton,-26.12833,126.58333,WA-S
West Musgrave Airport,-26.0545,127.6907,WA-S
Wiluna,-26.62925,120.22054,WA-S
Windarling,-30.0319,119.3872,WA-S
